experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy;algorithm
91;cpp;43,64;0,15;50,61;72,64;167.04;3.838408799;0.917873;-1296806399;164.26877546958863;naive_bayes
92;cpp;44,22;0,13;51,16;72,94;168.45;3.831178676;0.918998;-425232574;165.68399541755787;naive_bayes
93;cpp;43,31;0,2;50,28;71,76;165.55;3.828179887;0.920467;-796775720;162.7861604599162;naive_bayes
94;cpp;43,92;0,16;50,77;72,07;166.92;3.829741694;0.919403;1422480305;164.1550328786457;naive_bayes
95;cpp;42,77;0,16;49,61;70,93;163.47;3.824969187;0.919631;-347473139;160.70847849613008;naive_bayes
96;cpp;42,86;0,18;49,74;71,18;163.96;3.827493214;0.918312;-633979730;161.19665621874796;naive_bayes
97;cpp;43,29;0,13;50,08;71,48;164.98;3.82141137;0.918251;1646475550;162.22104714117583;naive_bayes
98;cpp;42,58;0,16;49,43;70,69;162.86;3.819527022;0.918515;1592121305;160.10240758808885;naive_bayes
99;cpp;43,59;0,13;50,76;73,95;168.43;3.824462738;0.919693;-640964187;165.66884413824008;naive_bayes
100;cpp;43,49;0,17;50,48;72,26;166.4;3.81902941;0.919341;1838499520;163.64276685013027;naive_bayes
101;cpp;43,52;0,21;50,56;72,45;166.74;3.82573916;0.919121;1629203074;163.97792259701222;naive_bayes
103;cpp;43,55;0,18;50,59;72,44;166.76;3.82534423;0.919139;-863584240;163.99820772550194;naive_bayes
104;cpp;43,81;0,15;50,74;72,94;167.64;3.833026078;0.919579;716210775;164.8726616446306;naive_bayes
105;cpp;43,33;0,21;50,31;72,28;166.13;3.82755602;0.919746;-572955677;163.36661087456056;naive_bayes
107;cpp;43,17;0,18;50,15;71,82;165.32;3.820928396;0.919992;1876874571;162.56139583498788;naive_bayes
108;cpp;42,56;0,13;49,5;71,66;163.85;3.825725786;0.918207;-1863313072;161.0879322526687;naive_bayes
110;cpp;43,52;0,18;50,48;72,43;166.61;3.827097653;0.919499;1376360569;163.84694180280215;naive_bayes
111;cpp;42,97;0,19;49,9;71,93;164.99;3.818967696;0.91986;1918302468;162.232811405924;naive_bayes
113;cpp;43,5;0,16;50,47;72,46;166.59;3.831398357;0.920713;323796637;163.82383681397815;naive_bayes
114;cpp;42,53;0,18;49,5;71,68;163.89;3.823114864;0.918119;2130049621;161.12981726582709;naive_bayes
115;cpp;42,95;0,16;50;72,46;165.57;3.840866748;0.919438;2020285652;162.797000898687;naive_bayes
116;cpp;43,65;0,18;50,64;72,64;167.11;3.825045555;0.919464;-476888430;164.34842336055544;naive_bayes
117;cpp;42,43;0,2;49,44;71,54;163.61;3.82286205;0.917424;-391424052;160.84999979051253;naive_bayes
119;cpp;43,75;0,13;50,68;72,77;167.33;3.838234824;0.918866;1023963542;164.558901074706;naive_bayes
120;cpp;43,14;0,21;50,18;71,99;165.52;3.819676229;0.919878;479479571;162.7622998647795;naive_bayes
121;julia;219,67;0,59;267,51;397,29;885.06;22.10674249;0.952060215;821;869.0995459984002;naive_bayes
122;julia;219,24;0,62;266,09;399,04;884.99;22.20310319;0.951304011;884;868.9599762496864;naive_bayes
123;julia;218,06;0,78;264,83;395,41;879.08;22.04166199;0.9499235;260;863.1665323116086;naive_bayes
124;julia;218,88;0,71;265,74;396,51;881.84;21.99167011;0.951646941;729;865.9626250603053;naive_bayes
125;julia;217,8;0,75;265,13;395,33;879.01;22.19244809;0.950574187;430;862.9876689359114;naive_bayes
126;julia;220;0,73;267,37;400,64;888.74;22.19982207;0.951268839;129;872.7123451271842;naive_bayes
127;julia;218,13;0,65;265,46;395,7;879.94;22.1478091;0.951682113;811;863.9498970467195;naive_bayes
129;julia;218,78;0,69;266,04;396,71;882.22;22.157079;0.951515045;839;866.2232044364167;naive_bayes
130;julia;218,79;0,81;265,86;396,99;882.45;22.03125642;0.950591773;865;866.5440448441051;naive_bayes
131;julia;218,69;0,76;266,45;396,18;882.08;22.19240638;0.951383149;437;866.0576990493728;naive_bayes
132;julia;220,57;0,75;267,98;398,52;887.82;22.10181474;0.952526247;594;871.8631036970183;naive_bayes
133;julia;217,2;0,59;264,91;395,72;878.42;22.13512002;0.951347977;901;862.439058210005;naive_bayes
134;julia;217,54;0,78;265,11;395,16;878.59;22.11929532;0.95190194;357;862.6204832038301;naive_bayes
135;julia;221,93;0,64;269,78;401,8;894.15;22.2695894;0.951286425;391;878.0719750529055;naive_bayes
136;julia;221,83;0,82;269,97;401,58;894.2;22.2246186;0.951814009;346;878.1544427213167;naive_bayes
137;julia;220,02;0,62;267,88;397,92;886.44;22.16681606;0.950723669;660;870.4361745495706;naive_bayes
138;julia;221,03;0,71;268,84;399,23;889.81;22.14688489;0.951251253;627;873.8205643006669;naive_bayes
139;julia;219,07;0,67;266,96;394,67;881.37;22.10834993;0.952491075;584;865.4083854713714;naive_bayes
140;julia;218,85;0,81;266,71;396,55;882.92;22.08891531;0.951585389;374;866.9724167271607;naive_bayes
141;julia;220,67;0,76;268,54;398,83;888.8;22.15163275;0.951770044;211;872.807136477632;naive_bayes
142;julia;217,05;0,76;264,62;394,18;876.61;21.96935081;0.950767634;671;860.7487389749248;naive_bayes
143;julia;222,43;0,86;270,52;402,02;895.83;22.17148183;0.950943496;68;879.8228059932353;naive_bayes
144;julia;222,3;0,8;270,39;402,2;895.69;22.19108815;0.951541424;928;879.6686507748153;naive_bayes
145;julia;217,41;0,7;264,46;394,13;876.7;22.10913079;0.951866767;996;860.737821712142;naive_bayes
146;julia;218,33;0,81;265,9;395,96;881.0;22.1685179;0.950881944;379;864.9949458683639;naive_bayes
148;julia;216,2;0,7;263,56;392,96;873.42;21.96349069;0.952200904;703;857.5629698187836;naive_bayes
149;julia;219,4;0,72;267,24;397,58;884.94;22.18336112;0.951189702;773;868.9242294758357;naive_bayes
150;julia;219,76;0,7;267,73;397,33;885.52;22.11415836;0.950512636;892;869.5541919462567;naive_bayes
151;python;32,29;0,18;39,28;59,52;131.27;3.239739107;0.917776058;97;128.930998357499;naive_bayes
152;python;32,56;0,15;39,63;60,06;132.4;3.240075051;0.918532262;917;130.06075581526275;naive_bayes
153;python;32,85;0,16;39,88;60,35;133.24;3.23876275;0.918075022;737;130.90170326013197;naive_bayes
154;python;32,69;0,12;39,63;59,97;132.41;3.232829735;0.91913019;857;130.07598673215597;naive_bayes
155;python;32,48;0,15;39,56;60,26;132.45;3.250725868;0.918417952;973;130.10306622124477;naive_bayes
156;python;32,57;0,15;39,54;59,82;132.08;3.23900074;0.917846403;101;129.74153143796278;naive_bayes
157;python;32,88;0,17;39,85;60,25;133.15;3.255308235;0.91967536;50;130.79975787955877;naive_bayes
158;python;33,09;0,14;40,1;60,68;134.01;3.265041339;0.920194151;494;131.65273084883475;naive_bayes
159;python;32,91;0,17;39,92;60,61;133.61;3.26738571;0.919772084;458;131.25103827809417;naive_bayes
160;python;32,68;0,13;39,6;59,97;132.38;3.252188042;0.91901588;919;130.0320105722327;naive_bayes
161;python;32,75;0,18;39,75;60,2;132.88;3.261542383;0.919393982;39;130.52525699787353;naive_bayes
162;python;32,84;0,16;39,81;60,19;133.0;3.257768921;0.91890157;360;130.64798133261914;naive_bayes
163;python;32,64;0,12;39,56;60,08;132.4;3.253609778;0.918294849;283;130.0509841183334;naive_bayes
164;python;32,83;0,13;39,76;60,28;133.0;3.2597647;0.918514676;925;130.64654043561944;naive_bayes
165;python;32,02;0,15;38,96;59,35;130.48;3.242499692;0.920625011;69;128.13900529181188;naive_bayes
166;python;32,74;0,14;39,67;60,13;132.68;3.262784988;0.918330021;374;130.32435987158033;naive_bayes
167;python;32,65;0,16;39,6;59,96;132.37;3.254429722;0.918708123;591;130.0203921415416;naive_bayes
168;python;32,72;0,13;39,64;60,12;132.61;3.265580689;0.919297258;541;130.2523414531167;naive_bayes
169;python;32,77;0,17;39,71;60,16;132.81;3.25101899;0.917635369;447;130.46285459530307;naive_bayes
170;python;32,64;0,14;39,52;59,71;132.01;3.236284131;0.919569843;575;129.6734927541994;naive_bayes
171;python;32,59;0,13;39,47;59,75;131.94;3.249173841;0.918980708;395;129.5941867416269;naive_bayes
172;python;32,67;0,14;39,57;59,67;132.05;3.24260932;0.919657774;837;129.70892614344112;naive_bayes
173;python;31,89;0,15;38,78;58,86;129.68;3.221934591;0.9177233;838;127.3538527234811;naive_bayes
174;python;32,57;0,15;39,52;59,97;132.21;3.250853271;0.919798463;530;129.86297423981776;naive_bayes
175;python;32,51;0,16;39,41;59,56;131.64;3.239880413;0.919807256;30;129.30089633849212;naive_bayes
176;python;32,62;0,17;39,54;59,72;132.05;3.240803235;0.920132599;587;129.7102300866421;naive_bayes
177;python;32,51;0,17;39,46;59,57;131.71;3.244777466;0.918242091;671;129.3673608022554;naive_bayes
178;python;32,43;0,18;39,41;59,68;131.7;3.253280788;0.919297258;541;129.35122163997477;naive_bayes
179;python;32,77;0,15;39,87;61,65;134.44;3.268429597;0.9192445;774;132.08028462067702;naive_bayes
180;python;32,63;0,16;39,6;59,67;132.06;3.244927135;0.920115013;557;129.71725274539486;naive_bayes
1;cpp;851,37;0,5;1025,32;1488,63;3365.82;82.24997696;0.99614;1263224233;3306.4378013564624;decision_tree
2;cpp;829,96;0,86;999,98;1463,47;3294.27;81.7493336;0.996228;323877210;3235.249251955622;decision_tree
3;cpp;906,29;0,77;1091,71;1590,52;3589.29;89.52902736;0.995788;-744240764;3524.652529163506;decision_tree
4;cpp;958,46;0,7;1155,16;1687,76;3802.08;94.42845947;0.99599;1124837282;3733.905275275423;decision_tree
5;cpp;950,66;0,64;1140,51;1651,64;3743.45;92.08803044;0.996184;-1361548882;3676.965000023165;decision_tree
6;cpp;891,54;0,87;1072,18;1557,01;3521.6;86.46457311;0.995621;1662248781;3459.174980008277;decision_tree
7;cpp;914,12;0,53;1100,86;1600,88;3616.39;89.56970581;0.995753;1692896260;3551.723160452564;decision_tree
8;cpp;887,7;0,64;1064,14;1545,7;3498.18;85.08545462;0.995867;-1242774085;3436.75066524921;decision_tree
9;cpp;934,53;0,52;1120,74;1623,51;3679.3;89.57491835;0.995902;628974364;3614.6293971434766;decision_tree
10;cpp;886,74;0,82;1062,89;1545,35;3495.8;85.14847221;0.996026;1799004002;3434.3251682997197;decision_tree
11;cpp;863,61;0,83;1040,69;1512,59;3417.72;84.6698022;0.996149;-122901115;3356.59075475055;decision_tree
12;cpp;849,61;0,68;1024,12;1488,69;3363.1;83.33763099;0.995946;365461918;3302.9325453594142;decision_tree
13;cpp;910,01;0,84;1092,53;1579,44;3582.82;87.40398755;0.996052;1893643394;3519.716748877443;decision_tree
14;cpp;954,67;0,75;1145,79;1657,59;3758.8;91.42154833;0.996034;-1279982903;3692.796181593194;decision_tree
15;cpp;910,71;0,77;1093,54;1578,65;3583.67;87.27326587;0.995577;770550746;3520.6611262992456;decision_tree
16;cpp;897,07;0,62;1081,26;1564,32;3543.27;86.95779517;0.996245;764777983;3480.4888873815703;decision_tree
17;cpp;927,24;0,59;1118,86;1618,79;3665.48;90.38698779;0.996166;208056864;3600.223105565281;decision_tree
18;cpp;889,74;0,75;1068,39;1547,16;3506.04;85.18341917;0.995982;-1811253771;3444.539937565348;decision_tree
19;cpp;913,55;0,71;1096,19;1580,68;3591.13;87.30465747;0.996113;1307783525;3528.0984624360344;decision_tree
20;cpp;918,71;0,53;1101,56;1593,01;3613.81;87.62610519;0.99599;-2142237481;3550.5463861112976;decision_tree
21;cpp;882,24;0,67;1058,5;1534,6;3476.01;83.91183522;0.995938;-419461729;3415.427985855472;decision_tree
22;cpp;856,73;0,78;1033,42;1500,57;3391.5;83.58524671;0.995797;1176438907;3331.1537736877885;decision_tree
23;cpp;877,66;0,81;1053,1;1518,69;3450.26;83.85894441;0.995806;-1511270469;3389.716171551103;decision_tree
24;cpp;896,34;0,58;1076,4;1572,88;3546.2;85.54344471;0.995982;879569544;3484.4400091261773;decision_tree
25;cpp;882,31;0,75;1059,22;1559,54;3501.82;84.13549299;0.995999;-1628720678;3441.076511158248;decision_tree
26;cpp;931,12;0,69;1120,88;1616,62;3669.31;89.64351355;0.995709;1937956789;3604.5898733144986;decision_tree
27;cpp;873,81;4,63;1062,13;1581,54;3522.11;86.32773361;0.99599;-1240624313;3459.7837743261803;decision_tree
28;cpp;857;0,84;1035,19;1525,8;3418.83;84.23458381;0.995938;-1438515293;3358.01497033873;decision_tree
29;cpp;877,26;0,57;1058,58;1532,99;3469.4;85.57185277;0.996061;272606777;3407.6194992959704;decision_tree
30;cpp;909,47;0,51;1095,25;1578,3;3583.53;87.38153024;0.996017;973500114;3520.442962431449;decision_tree
31;julia;632,99;0,73;762,15;1111,96;2507.83;60.06184539;0.998443628;948;2464.467016013014;decision_tree
33;julia;644,25;1,69;761,18;1107,4;2514.52;58.54318445;0.998408455;723;2472.2534470266683;decision_tree
34;julia;689,99;1,62;816,28;1181,11;2689.0;62.40428906;0.998179836;61;2643.945836751154;decision_tree
35;julia;629,75;1,4;745,13;1082,89;2459.17;57.52872623;0.998197422;180;2417.635857682113;decision_tree
36;julia;639,52;1,58;754,3;1095,94;2491.34;57.55379201;0.998443628;621;2449.787760885225;decision_tree
37;julia;618,99;1,77;732,51;1067,83;2421.1;56.42105977;0.998232594;78;2380.36556209772;decision_tree
38;julia;627,92;1,65;743,13;1081,3;2454.0;57.19673849;0.998496386;773;2412.705543608512;decision_tree
41;julia;633,14;2,34;748,99;1115,15;2499.62;56.64744072;0.998496386;513;2458.72212134018;decision_tree
42;julia;595,03;1,52;705,58;1029,11;2331.24;54.44227804;0.99825018;255;2291.9341875406208;decision_tree
43;julia;647,98;1,65;767,18;1110,5;2527.31;58.83776967;0.998531558;971;2484.8307646807507;decision_tree
44;julia;580,74;1,66;689,1;1004,2;2275.7;53.13322638;0.99859311;678;2237.3392864765947;decision_tree
45;julia;661,49;1,58;780,87;1129,43;2573.37;59.55404667;0.998426042;107;2530.3736325833343;decision_tree
46;julia;593,97;1,59;703,63;1022,83;2322.02;54.1868193;0.998223801;797;2282.898621654825;decision_tree
47;julia;644,81;1,64;760,25;1103,07;2509.77;57.55058356;0.998513972;868;2468.220077297001;decision_tree
48;julia;616,8;1,4;732,19;1063,39;2413.78;56.81326644;0.998144663;456;2372.7623997766104;decision_tree
49;julia;617,41;1,51;731,31;1058,75;2408.98;55.95574772;0.9984788;952;2368.581504472485;decision_tree
50;julia;641,7;2,09;759;1110,82;2513.61;57.62687554;0.998399662;611;2472.004996606663;decision_tree
51;julia;655,87;1,48;775,35;1119,95;2552.65;59.08149013;0.998390869;460;2509.9948052786435;decision_tree
53;julia;618,97;1,62;731,98;1062,51;2415.08;55.91725271;0.998426042;651;2374.7092968003994;decision_tree
54;julia;648,97;1,42;768,59;1112,51;2531.49;58.93651742;0.998329318;704;2488.9394715482435;decision_tree
55;julia;621,76;1,66;736,56;1066,22;2426.2;56.51106421;0.998487593;3;2385.4005813921635;decision_tree
56;julia;616,45;1,54;731,38;1062,2;2411.57;56.45530117;0.998487593;495;2370.8108407580703;decision_tree
58;julia;598,44;1,55;708,48;1030,31;2338.78;53.87162994;0.998223801;323;2299.886179617485;decision_tree
59;julia;614,25;5,93;733,99;1101,96;2456.13;55.85743991;0.99825018;945;2415.802479980533;decision_tree
60;julia;638,96;1,85;758,36;1094,92;2494.09;58.28632835;0.998267766;433;2452.0088899959765;decision_tree
61;python;325,56;0,97;395,35;601,26;1323.14;33.70044865;0.997916044;108;1298.8092121982738;decision_tree
63;python;348,27;10,55;430,29;678,35;1467.46;34.40695583;0.997986388;451;1442.6191336395132;decision_tree
64;python;358,6;0,9;429,21;642,71;1431.42;35.45065462;0.998065526;894;1405.8256121047662;decision_tree
66;python;331,5;0,86;398,4;599,96;1330.72;33.71898327;0.997810527;526;1306.3758307174842;decision_tree
67;python;334,09;0,97;400,12;595,45;1330.63;33.32906421;0.997713803;241;1306.5673414477192;decision_tree
68;python;335,41;1;401,83;600,73;1338.97;33.60741149;0.997836906;567;1314.706382443428;decision_tree
69;python;340;1,02;408,39;610,21;1359.62;34.36375257;0.997828113;853;1334.8103251931425;decision_tree
70;python;350,58;0,86;419,93;625,86;1397.23;34.74198728;0.997564321;711;1372.1472502390425;decision_tree
71;python;361,48;1,11;433,51;645,4;1441.5;36.19828447;0.998118284;870;1415.365844120562;decision_tree
72;python;325,1;0,91;389,73;580,96;1296.7;32.52766893;0.997968802;391;1273.2159265788991;decision_tree
73;python;337,14;0,95;405,51;607,05;1350.65;34.19187133;0.99804794;935;1325.9644186739438;decision_tree
74;python;351,95;1;419,98;625,14;1398.07;34.57005264;0.997722596;773;1373.11138227316;decision_tree
75;python;347,05;1,15;415,22;618,79;1382.21;34.40668286;0.998021561;243;1357.3693307162705;decision_tree
76;python;320,35;0,99;385,48;590,29;1297.11;32.61202;0.99804794;676;1273.5650274494444;decision_tree
77;python;341,19;0,89;410,43;614,87;1367.38;34.83056426;0.997687424;460;1342.233300119954;decision_tree
78;python;354,68;1,01;424,17;631,07;1410.93;35.41979048;0.997960009;496;1385.357895156509;decision_tree
79;python;358,74;1,09;431,47;646,3;1437.6;36.83946272;0.998074319;837;1411.002931234569;decision_tree
80;python;345,83;1,09;415,5;620,78;1383.2;35.10672843;0.99781932;713;1357.853917260441;decision_tree
81;python;360,62;0,96;432,47;643,33;1437.38;36.42321257;0.997634666;572;1411.0834522803648;decision_tree
82;python;329,18;0,9;393,64;587,56;1311.28;32.89899797;0.997977595;178;1287.5278373267147;decision_tree
83;python;350,41;1;418,91;624,75;1395.07;34.72336898;0.997740183;456;1370.0006921344673;decision_tree
84;python;343,18;1;411,55;611,86;1367.59;34.47137853;0.997960009;596;1342.7026222396323;decision_tree
85;python;327,37;0,93;393,23;592,72;1314.25;33.24624549;0.997916044;601;1290.2471342630392;decision_tree
86;python;357,11;1,02;429,82;645,59;1433.54;36.35926433;0.997731389;839;1407.2896211333048;decision_tree
87;python;347,99;0,99;415,78;618,77;1383.53;34.33076395;0.998074319;892;1358.7441420604318;decision_tree
88;python;330,1;0,96;395,68;590,98;1317.72;33.4086749;0.99804794;25;1293.5998647409472;decision_tree
89;python;330,07;0,92;396,88;597,26;1325.13;33.63019748;0.998241387;82;1300.8499315915924;decision_tree
90;python;356,33;0,96;426,67;634,47;1418.43;35.37785279;0.99793363;433;1392.888173003753;decision_tree
4;cpp;35,43;0,1;42,02;66,48;144.03;3.445704357;0.949422;-1385157228;141.5422971682559;svm
5;cpp;35,43;0,06;41,88;66,2;143.57;3.443962321;0.95126;907199366;141.08355486985803;svm
6;cpp;35,27;0,06;41,7;66,04;143.07;3.447303942;0.950495;-502988747;140.58114231231883;svm
7;cpp;35,99;0,06;42,37;66,78;145.2;3.446669662;0.948947;1756678894;142.71160024485994;svm
8;cpp;35,4;0,08;41,86;66,22;143.56;3.463843542;0.950214;317108997;141.05920118055218;svm
9;cpp;35,55;0,08;41,92;66,31;143.86;3.446312023;0.950433;899563700;141.37185845028355;svm
10;cpp;35,42;0,08;42,04;67,05;144.59;3.451350351;0.950196;1316190384;142.0982209174211;svm
11;cpp;35,38;0,06;41,7;65,99;143.13;3.447858329;0.946661;-34377488;140.64074206030446;svm
12;cpp;35,61;0,05;41,97;66,42;144.05;3.458439048;0.952377;1800499113;141.55310307509535;svm
13;cpp;35,23;0,09;41,57;65,76;142.65;3.443801885;0.952799;-95276005;140.16367070019348;svm
14;cpp;35,59;0,06;41,93;66,26;143.84;3.456957303;0.950961;-706958325;141.34417285382577;svm
15;cpp;34,77;0,06;41,14;65,19;141.16;3.436182257;0.950302;-1814727213;138.67917185995313;svm
16;cpp;35,31;0,08;41,62;65,9;142.91;3.449869693;0.953133;-1287225902;140.41928991136768;svm
17;cpp;35,44;0,09;41,79;65,96;143.28;3.462624105;0.949299;-693208653;140.78008158019293;svm
18;cpp;34,82;0,06;41,13;65,14;141.15;3.436437493;0.952122;416614276;138.66898758665104;svm
19;cpp;35,35;0,07;41,64;65,84;142.9;3.439162192;0.950592;1273448497;140.41702042965912;svm
20;cpp;35,38;0,05;41,7;65,89;143.02;3.461989322;0.950847;1784973053;140.52053987588607;svm
21;cpp;35,4;0,1;41,73;66,09;143.32;3.47274439;0.95053;718606646;140.81277501554194;svm
22;cpp;34,94;0,05;41,24;65,41;141.64;3.45406478;0.950258;1408954991;139.14626117508388;svm
23;cpp;34,54;0,07;40,77;64,68;140.06;3.4344183;0.951603;1304470144;137.58044538790833;svm
24;cpp;34,67;0,08;40,96;65,1;140.81;3.460051897;0.950979;1508766824;138.3119386429187;svm
25;cpp;34,58;0,1;40,89;64,92;140.49;3.44605915;0.951673;2057025498;138.0020410175653;svm
26;cpp;35,3;0,05;41,52;65,76;142.63;3.450600896;0.950495;2065885605;140.13876200311287;svm
27;cpp;34,55;0,06;40,81;64,79;140.21;3.443815389;0.95039;-2009862303;137.7236609506806;svm
28;cpp;35,16;0,08;41,42;65,58;142.24;3.44301477;0.951137;-391226533;139.7542389753592;svm
29;cpp;34,54;0,06;40,79;64,68;140.07;3.429570868;0.951603;-1463361860;137.59394509916143;svm
31;julia;468,07;1,04;689,87;1229,28;2388.26;97.63962975;0.963447233;256;2317.766899532438;svm
32;julia;481,51;1,38;702,5;1235,84;2421.23;96.32120612;0.962831718;234;2351.688764770419;svm
33;julia;481,05;0,88;702,67;1237,93;2422.53;96.32205701;0.963139476;100;2352.988150451475;svm
34;julia;476,86;0,84;694,5;1218,27;2390.47;94.6725648;0.962831718;672;2322.1190380078665;svm
35;julia;485,55;0,86;703,74;1234,04;2424.19;95.09936405;0.962444824;876;2355.5309008049016;svm
36;julia;486,26;1,03;708,46;1248,37;2444.12;97.66072458;0.962699822;381;2373.611669651145;svm
37;julia;470,65;0,86;685,58;1207,85;2364.94;94.19857989;0.962532754;447;2296.931241946639;svm
38;julia;473,83;0,93;689,04;1206,67;2370.47;93.68429859;0.962726202;898;2302.8325387596474;svm
39;julia;477,69;0,95;695,96;1225,52;2400.12;95.83554755;0.962224997;947;2330.929396767443;svm
40;julia;479,85;1,05;701,07;1234,57;2416.54;96.26373254;0.962497582;258;2347.0402590986905;svm
41;julia;474,97;0,95;690,72;1207,4;2374.04;93.09901874;0.963288958;882;2306.8250945535738;svm
42;julia;481,41;0,92;703,38;1240,4;2426.11;97.41950529;0.962304134;532;2355.7758232779893;svm
43;julia;473,76;0,99;687,32;1199,81;2361.88;92.89240666;0.963244992;951;2294.8142627361094;svm
44;julia;472,74;1,05;688,82;1205,31;2367.92;93.79027169;0.963025166;261;2300.2060291251446;svm
45;julia;471,84;1,04;685,19;1203,98;2362.05;93.23969737;0.96246241;150;2294.733528490454;svm
46;julia;482,18;0,92;699,48;1218,99;2401.57;94.02524624;0.961969998;171;2333.686384027116;svm
47;julia;491;0,98;713,52;1241,5;2447.0;95.62347061;0.963306544;617;2377.962510427097;svm
48;julia;478,49;0,87;700,97;1238,01;2418.34;97.22948957;0.962400858;709;2348.1430093496147;svm
49;julia;481,71;0,94;702,58;1230,98;2416.21;95.87651728;0.962752581;59;2346.9898177604314;svm
50;julia;479,83;0,99;700,12;1231,21;2412.15;96.22906253;0.962224997;947;2342.675289882855;svm
51;julia;478,01;0,98;695,5;1220,62;2395.11;95.00714089;0.962093101;708;2326.517483364667;svm
52;julia;480,68;1,04;698,74;1221,5;2401.96;94.13596052;0.961961205;143;2333.9964513923524;svm
53;julia;487,11;0,99;706,91;1227,54;2422.55;94.58007283;0.962321721;10;2354.2658146409854;svm
54;julia;476,98;0,97;694,26;1209,73;2381.94;93.68504394;0.962242583;201;2314.302000637652;svm
